file_name,x_min,y_min,x_max,y_max,bbox_label
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,107,1715,512,2059,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,604,1699,1009,1982,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,1109,1692,1476,2005,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,1621,1707,1919,1982,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,2057,1722,2447,2043,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,2607,1692,2928,2020,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,3074,1676,3425,2005,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,3609,1653,4029,1967,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,4136,1631,4504,1952,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).jpg,4656,1692,5000,1982,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,306,1913,680,2204,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,757,1868,1155,2173,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,1262,1852,1590,2135,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,1629,1783,2103,2150,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,2225,1791,2561,2105,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,2722,1791,3066,2135,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,3272,1875,3563,2150,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,3846,1845,4198,2112,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,4213,1845,4641,2173,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).jpg,4626,1822,5054,2166,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,3932,1588,4273,1898,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,3947,1239,4311,1588,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,3645,2308,4025,2688,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,2592,2726,2902,3113,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,2042,1557,2383,1867,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,3080,1688,3367,1944,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,2321,1386,2623,1665,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,3080,2238,3359,2502,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,4265,1255,4482,1626,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).jpg,2770,1805,3095,2083,BAD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_GoodSeeds (s9).jpg,864,1646,1307,1944,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_GoodSeeds (s9).jpg,1262,2005,1636,2303,GOOD
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_GoodSeeds (s9).jpg,1812,2166,2103,2433,GOOD
