file_name,x_min,y_min,x_max,y_max,bbox_label
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,343,1280,710,1829,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,847,1257,1221,1700,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,1305,1211,1687,1631,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,1756,1272,2137,1700,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,2206,1249,2595,1677,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,2641,1226,3007,1669,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,3053,1188,3427,1646,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,3511,1165,3862,1669,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,3946,1257,4267,1654,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).jpg,4435,1226,4847,1791,GOOD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,244,1677,679,2066,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,809,1631,1145,2196,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,1305,1616,1694,2142,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,1717,1547,2198,2043,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,2290,1639,2748,2058,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,2710,1646,3091,2074,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,3206,1608,3534,2066,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,3717,1608,4061,2074,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,4137,1654,4488,2112,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).jpg,4595,1539,5076,2081,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).jpg,1353,1115,1825,1456,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).jpg,2437,1348,2886,1758,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).jpg,3204,2192,3746,2610,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).jpg,2948,883,3382,1286,BAD
/content/drive/My Drive/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).jpg,3568,844,4017,1278,BAD
