file_name,x_min,y_min,x_max,y_max,bbox_label
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,619,2078,905,2376,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,1035,2129,1284,2394,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,1432,2100,1675,2365,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,1873,2094,2108,2352,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,2314,2082,2612,2345,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,2772,2098,3028,2364,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,3227,2120,3586,2361,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,3802,2090,4026,2337,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,4177,2094,4479,2368,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,4631,2098,4891,2394,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,473,2060,718,2328,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,908,2068,1178,2294,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,1339,1989,1588,2289,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,1801,2057,2038,2308,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,2179,2053,2483,2315,GOOD
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,2637,2038,2904,2318,GOOD
