img_file_name,img_file_label,annotation_file_name
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_GoodSeeds (s9).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_BadSeeds (s9).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_Mix (s9).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_GoodSeeds (s9).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_GoodSeeds (s9).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_BadSeeds (s9).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set9/SpaceOutRandom_BadSeeds (s9).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_Mix (s9).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set9/Line_Mix (s9).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set8/Line_BadSeeds (s8).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set8/Line_BadSeeds (s8).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set8/SpaceOutRandom_BadSeeds (s8).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set8/SpaceOutRandom_BadSeeds (s8).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set8/Line_Mix (s8).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set8/Line_Mix (s8).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set8/Line_GoodSeeds (s8).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set8/Line_GoodSeeds (s8).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set8/SpaceOutRandom_Mix (s8).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set8/SpaceOutRandom_Mix (s8).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set8/SpaceOutRandom_GoodSeeds (s8).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set8/SpaceOutRandom_GoodSeeds (s8).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set7/Line_GoodSeeds (s7).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set7/Line_GoodSeeds (s7).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set7/Line_BadSeeds (s7).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set7/Line_BadSeeds (s7).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set7/SpaceOutRandom_Mix (s7).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set7/SpaceOutRandom_Mix (s7).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set7/SpaceOutRandom_GoodSeeds (s7).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set7/SpaceOutRandom_GoodSeeds (s7).xml
