img_file_name,img_file_label,annotation_file_name
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).JPG,GOOD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/Line_Good_Seeds (s9).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).JPG,BAD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/Line_Bad_Seeds (s9).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).JPG,MIX,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Mix (s9).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Good_Seeds (s9).JPG,GOOD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Good_Seeds (s9).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Bad_Seeds (s9).JPG,BAD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/SpaceOutRandom_Bad_Seeds (s9).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/Line_Mix (s9).JPG,MIX,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set9/Line_Mix (s9).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/SpaceOutRandom_Bad_Seeds (s8).JPG,BAD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/SpaceOutRandom_Bad_Seeds (s8).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/Line_Mix (s8).JPG,MIX,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/Line_Mix (s8).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/Line_Good_Seeds (s8).JPG,GOOD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/Line_Good_Seeds (s8).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/Line_Bad_Seeds (s8).JPG,BAD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/Line_Bad_Seeds (s8).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/SpaceOutRandom_Mix (s8).JPG,MIX,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/SpaceOutRandom_Mix (s8).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/SpaceOutRandom_Good_Seeds (s8).JPG,GOOD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set8/SpaceOutRandom_Good_Seeds (s8).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set7/Line_Mix (s7).JPG,MIX,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set7/Line_Mix (s7).xml
C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set7/Line_Good_Seeds (s7).JPG,GOOD,C:/Users/User/Desktop/AAR/dataset/NormalRoomLighting/Set7/Line_Good_Seeds (s7).xml
