img_file_name,img_file_label,annotation_file_name
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed20.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed21.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed22.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed22.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed23.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed23.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed24.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed24.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed25.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed25.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed26.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed26.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed27.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed27.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed28.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed28.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed29.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed29.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed30.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed30.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed31.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed31.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed32.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed32.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed33.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed33.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed34.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed34.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed35.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed35.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed36.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed36.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed37.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed37.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed38.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed38.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed39.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed39.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed40.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed40.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed41.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed41.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed42.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed42.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed43.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed43.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed44.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed44.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed45.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed45.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed46.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed46.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed47.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed47.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed48.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed48.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed49.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed49.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed50.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed50.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed51.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed51.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed52.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed52.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed53.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed53.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed54.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed54.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed55.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed55.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed56.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed56.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed57.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed57.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed58.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed58.xml
/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed59.jpg,GOOD,/content/drive/My Drive/AAR/seedsplit/train/GoodSeed/GoodSeed59.xml
